Name,Date,Comment
tainan_three_baby_queen_153,17/05/23 04:31:43,@realyan.01 @ye_sh_21 抽
_zxm_0620,17/05/23 04:40:36,@_syj_0329 @jack__0915
_cf.h_,17/05/23 04:45:24,@chen_xin819  @junle33
_syj_0329,17/05/23 04:45:48,@_zxm_0620  @_cyun_fang_
chen_xin819,17/05/23 04:48:59,@_cf.h_ @junle33 吉祥物👏
tong_lin__01,17/05/23 05:00:28,@junting2005 @xingjie_yang
junting2005,17/05/23 05:09:58,@tong_lin__01 @qpx.950706
yuhsin1115,17/05/23 06:03:03,@cindylin8959 @duck10_06
yuhsin1115,17/05/23 06:03:55,@kl_py1210 @yuh_0331
yuhsin1115,17/05/23 06:04:15,@xie___0817 @yanjin2664
yuhsin1115,17/05/23 06:05:51,@3jojo0630 @gst3915
yuhsin1115,17/05/23 06:07:42,@yu_yu_1125 @yu_jhen0105
yangxinni,17/05/23 06:22:13,@lyljamie_1023 @_qianshenxx 抽了啦
yangxinni,17/05/23 06:22:28,@shih_shan_07_12 @di_5.20k 抽了啦
yangxinni,17/05/23 06:22:51,@candy121010 @zi_6011240 抽了啦
yangxinni,17/05/23 06:24:03,@tina.sone0310 @dada.yf 抽了啦
yangxinni,17/05/23 06:25:42,@__.jiac3 @_jocelyn_112 抽了啦
__cpwj__,17/05/23 06:44:46,@kevjing_ @ldjjjjjjjjj 吿兩人要來抽一下了吧
__cpwj__,17/05/23 06:47:06,@gyd_82 @an_dreayy 寶要標這裡啦
gyd_82,17/05/23 06:47:24,@__cpwj__ 寶知道了啦><
gyd_82,17/05/23 06:47:41,@__cpwj__ @an_dreayy
gyd_82,17/05/23 06:47:52,@huan95_ @_xinyu225
gyd_82,17/05/23 06:48:15,@wan_yu_0306 @yhh89_
gyd_82,17/05/23 06:48:39,@89.09.26_ @_zh616
gyd_82,17/05/23 06:49:02,@bellaa8_6 @cyj3563
_zhen416,17/05/23 07:10:23,❤️❤️ @_zyuu.156 @xoxzoexx
_zhen416,17/05/23 07:10:42,@wenyoujhen_ @yiyiyi_0529
_zyuu.156,17/05/23 07:23:12,@_zhen416 你要去唱喔
di_5.20k,17/05/23 07:25:56,@yangxinni 該中了啦😍😍😍
_wei._.wei_ooo,17/05/23 08:49:07,@anita_0709_ @midiliao
_wei._.wei_ooo,17/05/23 08:50:03,@chaiil__ @hi_1227.tyh
janet_0207_,17/05/23 09:10:14,@emma._0406_ @moch.en154
amy_.1107,17/05/23 09:10:38,@sc_hailly_1128  @ruochun.0.2.0.3 ❤️抽
amy_.1107,17/05/23 09:11:06,@annie920606 @emma._0406_ ❤️抽
janet_0207_,17/05/23 09:11:06,@sc_hailly_1128 @annie920606
janet_0207_,17/05/23 09:11:36,@yi._.shan0324 @hung_syun.c
amy_.1107,17/05/23 09:11:40,@hsia_.02 @hsia.____ 抽獎😌
amy_.1107,17/05/23 09:13:08,@cuuuuupcakes @_77_nm_ 抽🔥😌
__xuan.1213,17/05/23 09:35:04,@__pen.1010 @penma_irischen 抽個A區😀
__xuan.1213,17/05/23 09:36:31,@tung_1738 @_.wxr_
__xuan.1213,17/05/23 09:38:08,@cervino_451103 @wjc_1219
bobobo_0129,17/05/23 09:52:14,@cloudi920 @xinci__0602
bobobo_0129,17/05/23 09:52:38,@ryt6.28 @ching__0204
bobobo_0129,17/05/23 09:53:07,@yiner0908 @_hongxinyi_
bobobo_0129,17/05/23 09:53:46,@w.w_0414 @ching.0702
